Clabel:   0; set:  1; Glabel:   0; (VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 1.5 turn off
Clabel:   1; set:  1; Glabel:   1; (VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 0.5 turn off
Clabel:   2; set:  1; Glabel:   2; (VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 1 turn off
Clabel:   3; set:  1; Glabel:   3; (VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 2 turn off
Clabel:   4; set:  1; Glabel:   5; (VT) round-off, flic-flac with 0.5 turn on, 0.5 turn to piked salto backward off
Clabel:   5; set:  1; Glabel:   7; (VT) round-off, flic-flac with 0.5 turn on, piked salto forward with 0.5 turn off
Clabel:   6; set:  1; Glabel:   9; (VT) round-off, flic-flac with 0.5 turn on, piked salto forward off
Clabel:   7; set:  1; Glabel:  11; (VT) round-off, flic-flac with 0.5 turn on, tucked salto forward with 0.5 turn off
Clabel:   8; set:  1; Glabel:  14; (VT) round-off, flic-flac with 1 turn on, stretched salto backward with 1 turn off
Clabel:   9; set:  1; Glabel:  16; (VT) round-off, flic-flac with 1 turn on, piked salto backward off
Clabel:  10; set:  1; Glabel:  19; (VT) round-off, flic-flac on, stretched salto backward with 2 turn off
Clabel:  11; set:  1; Glabel:  20; (VT) round-off, flic-flac on, stretched salto backward with 1 turn off
Clabel:  12; set:  1; Glabel:  21; (VT) round-off, flic-flac on, stretched salto backward with 1.5 turn off
Clabel:  13; set:  1; Glabel:  22; (VT) round-off, flic-flac on, stretched salto backward with 0.5 turn off
Clabel:  14; set:  1; Glabel:  23; (VT) round-off, flic-flac on, stretched salto backward with 2.5 turn off
Clabel:  15; set:  1; Glabel:  24; (VT) round-off, flic-flac on, stretched salto backward off
Clabel:  16; set:  1; Glabel:  25; (VT) round-off, flic-flac on, piked salto backward off
Clabel:  17; set:  1; Glabel:  29; (VT) round-off, flic-flac on, tucked salto backward off
Clabel:  18; set:  1; Glabel:  30; (VT) tsukahara stretched with 2 turn
Clabel:  19; set:  1; Glabel:  31; (VT) tsukahara stretched with 1 turn
Clabel:  20; set:  1; Glabel:  32; (VT) tsukahara stretched with 1.5 turn
Clabel:  21; set:  1; Glabel:  33; (VT) tsukahara stretched with 0.5 turn
Clabel:  22; set:  1; Glabel:  35; (VT) tsukahara stretched salto
Clabel:  23; set:  1; Glabel:  36; (VT) tsukahara stretched without salto
Clabel:  24; set:  1; Glabel:  37; (VT) tsukahara piked
Clabel:  25; set:  1; Glabel:  38; (VT) tsukahara tucked with 1 turn
Clabel:  26; set:  1; Glabel:  41; (VT) tsukahara tucked
Clabel:  27; set:  1; Glabel:  45; (VT) handspring forward on, stretched salto forward with 1.5 turn off
Clabel:  28; set:  1; Glabel:  46; (VT) handspring forward on, stretched salto forward with 0.5 turn off
Clabel:  29; set:  1; Glabel:  47; (VT) handspring forward on, stretched salto forward with 1 turn off
Clabel:  30; set:  1; Glabel:  51; (VT) handspring forward on, piked salto forward with 0.5 turn off
Clabel:  31; set:  1; Glabel:  52; (VT) handspring forward on, piked salto forward with 1 turn off
Clabel:  32; set:  1; Glabel:  53; (VT) handspring forward on, piked salto forward off
Clabel:  33; set:  1; Glabel:  56; (VT) handspring forward on, tucked salto forward with 0.5 turn off
Clabel:  34; set:  1; Glabel:  57; (VT) handspring forward on, tucked salto forward with 1 turn off
Clabel:  35; set:  1; Glabel:  58; (VT) handspring forward on, tucked double salto forward off
Clabel:  36; set:  1; Glabel:  59; (VT) handspring forward on, tucked salto forward off
Clabel:  37; set:  1; Glabel:  60; (VT) handspring forward on, 1.5 turn off
Clabel:  38; set:  1; Glabel:  62; (VT) handspring forward on, 1 turn off
Clabel:  39; set:  1; Glabel:  63; (VT) handspring forward on, no turn off
Clabel:  40; set: 21; Glabel:  67; (FX) switch leap with 0.5 turn
Clabel:  41; set: 21; Glabel:  68; (FX) switch leap with 1 turn
Clabel:  42; set: 21; Glabel:  70; (FX) split leap with 0.5 turn
Clabel:  43; set: 21; Glabel:  72; (FX) split leap with 1 turn
Clabel:  44; set: 21; Glabel:  73; (FX) split leap with 1.5 turn or more
Clabel:  45; set: 21; Glabel:  74; (FX) switch leap (leap forward with leg change to cross split)
Clabel:  46; set: 21; Glabel:  75; (FX) split leap forward
Clabel:  47; set: 21; Glabel:  77; (FX) split jump with 1 turn
Clabel:  48; set: 21; Glabel:  78; (FX) split jump with 0.5 turn
Clabel:  49; set: 21; Glabel:  79; (FX) split jump with 1.5 turn
Clabel:  50; set: 21; Glabel:  80; (FX) sissone jump (leg separation 180 degree on the diagonal to the floor, take off two feet, land on one foot)
Clabel:  51; set: 21; Glabel:  81; (FX) split jump (leg separation 180 degree parallel to the floor)
Clabel:  52; set: 21; Glabel:  83; (FX) johnson with additional 0.5 turn
Clabel:  53; set: 21; Glabel:  85; (FX) johnson (switch leap with 0.25 turn to side split or to straddle pike position)
Clabel:  54; set: 21; Glabel:  88; (FX) straddle pike or side split jump with 1 turn
Clabel:  55; set: 21; Glabel:  90; (FX) straddle pike or side split jump with 0.5 turn
Clabel:  56; set: 21; Glabel:  93; (FX) straddle pike jump or side split jump
Clabel:  57; set: 21; Glabel:  94; (FX) stag ring jump 
Clabel:  58; set: 21; Glabel:  95; (FX) switch leap to ring position with 1 turn
Clabel:  59; set: 21; Glabel:  96; (FX) switch leap to ring position
Clabel:  60; set: 21; Glabel:  97; (FX) split leap with 1 turn or more to ring position
Clabel:  61; set: 21; Glabel:  98; (FX) split ring leap
Clabel:  62; set: 21; Glabel:  99; (FX) ring jump (rear foot at head height, body arched and head dropped backward)
Clabel:  63; set: 21; Glabel: 101; (FX) split jump with 1 turn or more to ring position
Clabel:  64; set: 21; Glabel: 103; (FX) stag jump with 0.5 turn
Clabel:  65; set: 21; Glabel: 104; (FX) stag jump      
Clabel:  66; set: 21; Glabel: 106; (FX) tuck hop or jump with 1 turn
Clabel:  67; set: 21; Glabel: 107; (FX) tuck hop or jump with 2 turn
Clabel:  68; set: 21; Glabel: 108; (FX) stretched hop or jump with 1 turn
Clabel:  69; set: 21; Glabel: 110; (FX) pike jump with 1 turn
Clabel:  70; set: 21; Glabel: 112; (FX) sheep jump , jump with upper back arch and head release with feet almost touching head
Clabel:  71; set: 21; Glabel: 114; (FX) wolf hop or jump with 1 turn
Clabel:  72; set: 21; Glabel: 116; (FX) stride leap forward with change of legs to wolf position
Clabel:  73; set: 21; Glabel: 117; (FX) wolf hop or jump ( hop or jump with one leg bent and the other extended straight , forward above horizontal with knees together )
Clabel:  74; set: 21; Glabel: 120; (FX) jump with legs separated, landing in front lying support
Clabel:  75; set: 21; Glabel: 124; (FX) cat leap with 2 turn
Clabel:  76; set: 21; Glabel: 125; (FX) cat leap (leap with alternate leg change)
Clabel:  77; set: 21; Glabel: 127; (FX) hop with 0.5 turn free leg extended above horizontal throughout
Clabel:  78; set: 21; Glabel: 128; (FX) hop with 1 turn free leg extended above horizontal throughout
Clabel:  79; set: 21; Glabel: 129; (FX) butterfly forward, torso parallel to floor, slightly arched, legs straddled and feet above hip height during flight
Clabel:  80; set: 22; Glabel: 131; (FX) illusion 1 turn through standing split
Clabel:  81; set: 22; Glabel: 133; (FX) 3 turn with free leg held upward in 180 split position throughout turn
Clabel:  82; set: 22; Glabel: 134; (FX) 2 turn with free leg held upward in 180 split position throughout turn
Clabel:  83; set: 22; Glabel: 135; (FX) 1 turn with free leg held upward in 180 split position throughout turn
Clabel:  84; set: 22; Glabel: 136; (FX) 3 turn in tuck stand on one leg, free leg straight throughout turn
Clabel:  85; set: 22; Glabel: 137; (FX) 2 turn in tuck stand on one leg, free leg straight throughout turn
Clabel:  86; set: 22; Glabel: 139; (FX) 1 turn in tuck stand on one leg, free leg optional
Clabel:  87; set: 22; Glabel: 141; (FX) 1 spin or less on back in kip position, hip and leg are closed
Clabel:  88; set: 22; Glabel: 143; (FX) 2 turn in back attitude, knee of free leg at horizontal throughout turn
Clabel:  89; set: 22; Glabel: 144; (FX) 1 turn in back attitude, knee of free leg at horizontal throughout turn
Clabel:  90; set: 22; Glabel: 145; (FX) 4 turn on one leg, free leg optional below horizontal
Clabel:  91; set: 22; Glabel: 146; (FX) 3 turn on one leg, free leg optional below horizontal
Clabel:  92; set: 22; Glabel: 147; (FX) 2 turn on one leg, free leg optional below horizontal
Clabel:  93; set: 22; Glabel: 148; (FX) 1 turn on one leg, free leg optional below horizontal
Clabel:  94; set: 22; Glabel: 149; (FX) 2 turn or more with heel of free leg forward at horizontal throughout turn
Clabel:  95; set: 22; Glabel: 150; (FX) 1 turn with heel of free leg forward at horizontal throughout turn
Clabel:  96; set: 23; Glabel: 151; (FX) take-off forward from one or both legs, salto sideward tucked
Clabel:  97; set: 23; Glabel: 154; (FX) aerial cartwheel
Clabel:  98; set: 24; Glabel: 156; (FX) arabian double salto tucked
Clabel:  99; set: 24; Glabel: 158; (FX) double salto forward tucked with 0.5 twist
Clabel: 100; set: 24; Glabel: 159; (FX) double salto forward tucked
Clabel: 101; set: 24; Glabel: 163; (FX) salto forward tucked
Clabel: 102; set: 24; Glabel: 164; (FX) arabian double salto piked
Clabel: 103; set: 24; Glabel: 166; (FX) double salto forward piked
Clabel: 104; set: 24; Glabel: 168; (FX) salto forward piked
Clabel: 105; set: 24; Glabel: 169; (FX) aerial walkover forward
Clabel: 106; set: 24; Glabel: 171; (FX) salto forward stretched with 2 twist
Clabel: 107; set: 24; Glabel: 172; (FX) salto forward stretched with 1 twist
Clabel: 108; set: 24; Glabel: 174; (FX) salto forward stretched with 1.5 twist
Clabel: 109; set: 24; Glabel: 175; (FX) salto forward stretched with 0.5 twist
Clabel: 110; set: 24; Glabel: 176; (FX) salto forward stretched, feet land successively
Clabel: 111; set: 24; Glabel: 177; (FX) salto forward stretched, feet land together
Clabel: 112; set: 25; Glabel: 178; (FX) double salto backward stretched with 2 twist
Clabel: 113; set: 25; Glabel: 179; (FX) double salto backward stretched with 1 twist
Clabel: 114; set: 25; Glabel: 180; (FX) double salto backward stretched with 0.5 twist
Clabel: 115; set: 25; Glabel: 181; (FX) double salto backward stretched
Clabel: 116; set: 25; Glabel: 182; (FX) salto backward stretched with 3 twist
Clabel: 117; set: 25; Glabel: 183; (FX) salto backward stretched with 2 twist
Clabel: 118; set: 25; Glabel: 184; (FX) salto backward stretched with 1 twist
Clabel: 119; set: 25; Glabel: 185; (FX) salto backward stretched
Clabel: 120; set: 25; Glabel: 186; (FX) salto backward stretched with 3.5 twist
