Glabel:   0; set:  1; (VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 1.5 turn off
Glabel:   1; set:  1; (VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 0.5 turn off
Glabel:   2; set:  1; (VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 1 turn off
Glabel:   3; set:  1; (VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 2 turn off
Glabel:   4; set:  1; (VT) round-off, flic-flac with 0.5 turn on, stretched salto forward off
Glabel:   5; set:  1; (VT) round-off, flic-flac with 0.5 turn on, 0.5 turn to piked salto backward off
Glabel:   6; set:  1; (VT) round-off, flic-flac with 0.5 turn on, piked salto forward with 1.5 turn off
Glabel:   7; set:  1; (VT) round-off, flic-flac with 0.5 turn on, piked salto forward with 0.5 turn off
Glabel:   8; set:  1; (VT) round-off, flic-flac with 0.5 turn on, piked salto forward with 1 turn off
Glabel:   9; set:  1; (VT) round-off, flic-flac with 0.5 turn on, piked salto forward off
Glabel:  10; set:  1; (VT) round-off, flic-flac with 0.5 turn on, tucked salto forward with 1.5 turn off
Glabel:  11; set:  1; (VT) round-off, flic-flac with 0.5 turn on, tucked salto forward with 0.5 turn off
Glabel:  12; set:  1; (VT) round-off, flic-flac with 0.5 turn on, tucked salto forward with 1 turn off
Glabel:  13; set:  1; (VT) round-off, flic-flac with 0.5 turn on, tucked salto forward off
Glabel:  14; set:  1; (VT) round-off, flic-flac with 1 turn on, stretched salto backward with 1 turn off
Glabel:  15; set:  1; (VT) round-off, flic-flac with 1 turn on, stretched salto backward off
Glabel:  16; set:  1; (VT) round-off, flic-flac with 1 turn on, piked salto backward off
Glabel:  17; set:  1; (VT) round-off, flic-flac with 1 turn on, tucked salto backward with 1 turn off
Glabel:  18; set:  1; (VT) round-off, flic-flac with 1 turn on, tucked salto backward off
Glabel:  19; set:  1; (VT) round-off, flic-flac on, stretched salto backward with 2 turn off
Glabel:  20; set:  1; (VT) round-off, flic-flac on, stretched salto backward with 1 turn off
